Name,Affiliation,Abilities,Transformation/Alternate Mode,Image URL,Description,Quote
Bumblebee,Autobot,"Speed, Espionage, Combat skills",Yellow Camaro,https://tfwiki.net/mediawiki/images2/b/b4/Transformers-One-B-127.jpg,"Bumblebee is a skilled scout, known for his agility and stealth. Though smaller than most of his comrades, his courage and loyalty are unmatched. Bumblebee often acts as the bridge between the Autobots and humans, forging lasting relationships with Earth's defenders.",The least likely can be the most dangerous.
Cliffjumper,Autobot,"Agility, Combat skills",Sports Car,https://tfwiki.net/mediawiki/images2/2/2a/PrimeCliffjumper.jpg,"Cliffjumper is a fiery and impulsive Autobot, always ready to leap into battle. His size may not be imposing, but his spirit and tenacity make him a dangerous adversary to any Decepticon. His enthusiasm sometimes borders on reckless, but it's driven by his desire to protect others.",Let's burn rubber!
Prowl,Autobot,"Strategy, Law Enforcement",Police Car,https://tfwiki.net/mediawiki/images2/1/13/Prowlg1.jpg,"Prowl is a strict tactician who operates by logic and rules. As the strategist of the Autobots, he formulates battle plans with precision and forethought. His adherence to law and order sometimes clashes with his comrades' more freewheeling nature.",Logic is the ultimate weapon.
Jazz,Autobot,"Combat skills, Espionage, Stealth",Sports Car,https://tfwiki.net/mediawiki/images2/2/29/Jazz_%28One%29.jpg,"Jazz is a suave and laid-back Autobot with a love for music and culture. He excels in stealth and espionage, often taking on critical reconnaissance missions. His cool demeanor and quick thinking make him a trusted lieutenant to Optimus Prime.",Do it with style or don't bother doing it at all!
Blurr,Autobot,"Speed, Agility, Communication",Cybertronian Car,https://tfwiki.net/mediawiki/images2/thumb/f/f7/Armada-Blurr-art.jpg/300px-Armada-Blurr-art.jpg,"Blurr is the fastest Autobot on land, capable of moving and talking at breakneck speeds. His speed makes him a perfect messenger, but his rapid-fire communication style can sometimes be hard for his comrades to follow. He is incredibly loyal and will risk everything to get the job done.",Nobody's faster than me!
Trailbreaker,Autobot,"Force fields, Combat skills",Off-Road Vehicle,https://tfwiki.net/mediawiki/images2/4/48/Trailbreakerg1.jpg,"Trailbreaker is the Autobots' defensive specialist, capable of generating force fields to protect himself and his allies. He is easygoing and always ready with a joke, but takes his role seriously when danger looms. His force fields are often the last line of defense in desperate situations.","No need to worry, I've got us covered!"
Mirage,Autobot,"Invisibility, Stealth, Combat skills",Formula One Car,https://tfwiki.net/mediawiki/images2/thumb/5/54/MirageEnergon-card.jpg/423px-MirageEnergon-card.jpg,"Mirage is a stealthy and secretive Autobot who can become invisible at will. He excels at espionage and infiltration, often sneaking behind enemy lines to gather intelligence. Though he sometimes longs for a life away from war, his loyalty to his comrades keeps him in the fight.",You can't catch what you can't see.
Hound,Autobot,"Tracking, Illusions, Combat skills",Military Jeep,https://tfwiki.net/mediawiki/images2/thumb/7/7c/TF4Hound.jpg/439px-TF4Hound.jpg,"Hound is the Autobots' tracker, with the ability to create convincing holograms. He loves exploring new terrains, especially Earth, and has a strong affinity for nature. His loyalty to the Autobots is unwavering, and his tracking skills make him invaluable in locating Decepticons.","I love this planet, it's so... raw and untamed!"
Ultra Magnus,Autobot,"Strength, Leadership, Combat skills",Car Carrier Truck,https://tfwiki.net/mediawiki/images2/thumb/d/d0/Ultramagnusg1.jpg/393px-Ultramagnusg1.jpg,"Ultra Magnus is a steadfast and reliable leader who takes his duty very seriously. Though he often plays second fiddle to Optimus Prime, he is respected by his comrades for his strength and unshakable resolve. He is a natural leader in times of crisis.",I can't deal with that now!
Hot Rod,Autobot,"Speed, Leadership, Combat skills",Sports Car,https://tfwiki.net/mediawiki/images2/thumb/4/4b/TLK-Hot-Rod-art.jpg/400px-TLK-Hot-Rod-art.jpg,"Hot Rod is brash, impulsive, and full of youthful enthusiasm. Though he can be reckless, his heart is always in the right place. Hot Rod eventually matures into the leader known as Rodimus Prime, proving that he has what it takes to lead the Autobots into the future.",The future is built on dreams.
Springer,Autobot,"Triple-changer, Combat skills",Helicopter/Car,https://tfwiki.net/mediawiki/images2/b/bd/Springer-decipherthedecepticon.jpg,"Springer is a confident and tough Autobot who can transform into both a helicopter and a car. His versatility in combat makes him a key member of the Autobot forces. Despite his hardened nature, Springer has a dry sense of humor that helps ease tense situations.",I've got better things to do today than die.
Wheelie,Autobot,"Agility, Combat skills",Cybertronian Car,https://tfwiki.net/mediawiki/images2/a/a8/ROTFWheelie.jpg,"Wheelie is a small but resourceful Autobot who excels in reconnaissance and quick escapes. His size and agility allow him to navigate through tight spaces, and while he often speaks in rhymes, his courage in battle is undeniable.","Wheelie say, Autobot's friend, till the end!"
Sideswipe,Autobot,"Speed, Agility, Combat skills",Sports Car,https://tfwiki.net/mediawiki/images2/1/17/Revenge_of_the_Fallen_Sideswipe.jpg,"Sideswipe is a thrill-seeking warrior who lives for the excitement of battle. His speed and agility make him a fierce fighter, and his daring attitude often leads him into the heart of the action. His fearless nature and sharp wit make him a valuable asset.",I make my own rules.
Bluestreak,Autobot,"Sharpshooting, Speed",Sports Car,https://tfwiki.net/mediawiki/images2/thumb/b/be/Anime_Bluestreak_boxart.jpg/492px-Anime_Bluestreak_boxart.jpg,"Bluestreak is one of the fastest Autobots and a sharpshooter of exceptional skill. Despite his cheerful and talkative personality, Bluestreak carries the trauma of seeing his home city destroyed. He fights to ensure no one else experiences that same loss.",There's no such thing as too much firepower!
Tracks,Autobot,"Flight, Combat skills",Sports Car/Aircraft,https://tfwiki.net/mediawiki/images2/c/c1/Tracksg1.jpg,"Tracks is a sleek and stylish Autobot who transforms into a flying sports car. He is as comfortable in the air as on the ground and is known for his vanity. Though he cares deeply about his appearance, he's a brave fighter who never shies away from danger.",Why fly when you can soar?
Grapple,Autobot,"Engineering, Construction",Construction Crane,https://tfwiki.net/mediawiki/images2/thumb/0/02/TFU_Grapple.jpg/300px-TFU_Grapple.jpg,Grapple is a brilliant architect and engineer who designs intricate structures and buildings. His creativity is only matched by his frustration when his plans are interrupted. He is meticulous and often tries to find beauty even in war-torn environments.,A well-constructed plan is a beautiful thing.
